Artista,Cancion,Ranking,Pais
DobleP & Tuti Dj & PEREIRAREMIX,SE DICE DE MI,1,Argentina
renzo ed & ELAGGUME,COLOCARTELO,2,Argentina
FloyyMenor,PELIGROSA,3,Argentina
Standly,Pégate,4,Argentina
Valentino Merlo & The La Planta,Hoy,5,Argentina
Sabrina Carpenter,Taste,6,Argentina
Tiago PZK & Anitta & Emilia,Alegría,7,Argentina
Ponte Perro & COLORS,Mi santo - A COLORS SHOW,8,Argentina
La Joaqui & DobleP,Terapia de choque,9,Argentina
DJ Sanny J,Fiesta Reggaeton - D@Niele 2010 Tek Remix,10,Argentina
Surf Curse,Disco,11,Argentina
RAMKY EN LOS CONTROLES & Roze Oficial,SALE SOLA,13,Argentina
Big One & Tiago PZK & La Joaqui,Pa´ Que Te Acuerdes | CROSSOVER #8,14,Argentina
Sele Vera y Pampas de Bariloche,El Bailongo en Lo del Rengo,15,Argentina
Klim,Toa Toa,16,Argentina
Airbag,Cicatrices,17,Argentina
Kolisiøn,3 Segundos De Gloria,18,Argentina
Felix Tena,Tonight,20,Argentina
Halcyon Days & Halcyon Days,4.33 (Original Mix),21,Argentina
Yami Safdie & Lasso,En Otra Vida,22,Argentina
Sarpado Negro Fino,ELLA ES BUTAKERA x Alex El Beatmaker,24,Argentina
Maria Becerra,AGORA,25,Argentina
Piromano El Del Flow Gitano,MIENTES TAN BIEN,26,Argentina
Omar Courtz & De La Rose,Q U E  V A S  H A C E R  H O Y ?,27,Argentina
Floricienta,Flores Amarillas,28,Argentina
The King Khan & BBQ Show,Love You So,29,Argentina
El Alfa & Nfasis,ESTE,30,Argentina
Maria Becerra,AGORA,31,Argentina
Alphaville,Forever Young,32,Argentina
Gold-Tiger,Funny,33,Argentina
Don Omar,Dutty Love,34,Argentina
Altitude Music / BMGPM,Downstream (STEM synth 1),35,Argentina
La Joaqui,ELEUSECA,36,Argentina
LOLO OG & Ecko & Omar Varela,Mas Lentito,37,Argentina
The White Stripes,We're Going to Be Friends,38,Argentina
Maluma,Pretextos (feat. Cosculluela),39,Argentina
KAROL G,Si Antes Te Hubiera Conocido,40,Argentina
Rokero & Luar La L & Los G4,De La Nada - Remix,42,Argentina
Modern Talking,Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit),43,Argentina
Punch-Drunk Love,He Needs Me,44,Argentina
Sonnerie Silencieux,"Mode Silence - Muet, Mode Silencieux, Calme, Chut Pour Iphone",45,Argentina
Jere Klein & ADAN LA AMENAZA,LA BANDA,46,Argentina
Sevdaliza & Pabllo Vittar & Yseult,Alibi,47,Argentina
Flor Alvarez & PUSHI,Tattoo,48,Argentina
Ponte Perro,SOLARI RKT,49,Argentina
Lucky Brown,Cosa Linda,51,Argentina
Altitude Music / BMGPM,Principles Of Uncertainty (STEM licks),52,Argentina
El Traidor y los Pibes,Mi Guitarra,55,Argentina
my head is empty,i was only temporary,56,Argentina
Emilia,noviogangsta <3,57,Argentina
Dj Pirata & El Kaio & Dj Luciano Troncoso,Envuelto en Llamas - Tik Tok - Guaracha,58,Argentina
Nicolas Maulen,Demonio Vestido 'e Mujer (Techengue) - Remix,59,Argentina
Lenny Tavárez,No Quiere Amor (Remix),60,Argentina
La Joaqui & Yeri Mua & Gusty DJ,CHEKATE,61,Argentina
